Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
220330,Demerval Lobão,Centro Norte Piauiense,Entre Rios,13862,43.59,11.03,32.27,78.16,-4.13,32.18
220320,Curimatá,Sudoeste Piauiense,Chapada Das Mangabeiras,11461,47.05,11.71,26.41,75.81,-0.22,32.15
220830,Piracuruca,Norte Piauiense,Cocais,28952,44.04,19.24,29.61,75.39,-7.6,32.14
221040,São Miguel do Tapuio,Centro Norte Piauiense,Carnaubais,17617,44.01,18.03,25.01,78.2,-5.76,31.9
220230,Canto do Buriti,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,21326,46.92,15.5,27.31,77.99,-9.59,31.63
220180,Bocaina,Sudeste Piauiense,Vale Do Rio Guaribas,4509,35.71,7.98,27.32,85.43,1.7,31.63
220260,Castelo do Piauí,Centro Norte Piauiense,Carnaubais,19716,39.98,17.59,27.08,81.02,-7.82,31.57
220430,Fronteiras,Sudeste Piauiense,Vale Do Rio Guaribas,11690,43.33,11.09,27.49,76.19,-0.59,31.5
220040,Altos,Centro Norte Piauiense,Entre Rios,40681,43.55,24.67,34.36,76.14,-22.07,31.33
220920,Santa Filomena,Sudoeste Piauiense,Chapada Das Mangabeiras,6256,39.29,5.02,39.45,73.84,-1.92,31.14
221050,São Pedro do Piauí,Centro Norte Piauiense,Entre Rios,14356,43.62,12.89,27.52,78.34,-7.08,31.06
220115,Baixa Grande do Ribeiro,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,11751,35.71,7.15,47.15,69.34,-4.35,31.0
220520,Jaicós,Sudeste Piauiense,Vale Do Rio Guaribas,19233,40.48,15.78,25.8,77.82,-5.9,30.8
220960,São Félix do Piauí,Centro Norte Piauiense,Vale Do Sambito,2923,35.71,6.22,25.12,87.96,-1.18,30.77
220720,Padre Marcos,Sudeste Piauiense,Vale Do Rio Guaribas,6879,43.68,9.23,24.85,78.47,-2.66,30.71
220350,Elesbão Veloso,Centro Norte Piauiense,Vale Do Sambito,14550,39.91,11.01,26.36,82.38,-6.64,30.6
220910,Santa Cruz do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,6254,39.68,11.51,25.56,79.39,-3.32,30.56
220890,Ribeiro Gonçalves,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,7408,35.71,7.33,37.63,72.99,-1.25,30.48
220860,Prata do Piauí,Centro Norte Piauiense,Vale Do Sambito,3149,39.29,4.95,23.92,85.49,-1.33,30.46
220595,Marcolândia,Sudeste Piauiense,Vale Do Rio Guaribas,8590,44.57,8.41,29.78,72.35,-2.88,30.45
220510,Itaueira,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,11037,39.76,12.12,25.68,78.45,-3.84,30.43
220480,Ipiranga do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,9863,39.29,11.47,27.35,77.91,-3.91,30.42
220880,Regeneração,Centro Norte Piauiense,Entre Rios,17979,39.81,12.13,27.96,77.79,-5.76,30.39
220500,Itainópolis,Sudeste Piauiense,Vale Do Rio Guaribas,11571,39.29,10.28,24.34,81.13,-4.43,30.12
220140,Barro Duro,Centro Norte Piauiense,Entre Rios,7022,39.29,6.42,29.64,78.19,-3.39,30.03
220010,Agricolândia,Centro Norte Piauiense,Entre Rios,5123,32.14,8.59,27.62,84.34,-2.95,29.95
