Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
220820,Pio IX,Sudeste Piauiense,Vale Do Rio Guaribas,18492,39.59,4.52,22.36,74.44,-1.34,27.91
220280,Conceição do Canindé,Sudeste Piauiense,Vale Do Canindè,4811,32.14,2.8,22.92,82.18,-0.63,27.88
220740,Palmeira do Piauí,Sudoeste Piauiense,Chapada Das Mangabeiras,5029,35.71,3.76,24.87,75.74,-0.74,27.87
220375,Fartura do Piauí,Sudoeste Piauiense,Serra Da Capivara,5330,39.41,2.22,20.58,77.93,-0.83,27.86
220440,Gilbués,Sudoeste Piauiense,Chapada Das Mangabeiras,10698,35.71,3.96,25.49,74.84,-0.89,27.82
220030,Alto Longá,Centro Norte Piauiense,Entre Rios,14371,35.71,2.41,22.2,79.74,-0.97,27.82
220610,Matias Olímpio,Norte Piauiense,Cocais,10979,39.29,2.78,22.96,75.58,-1.57,27.81
220150,Batalha,Norte Piauiense,Cocais,26951,35.71,7.31,21.54,76.82,-2.55,27.77
220950,Santo Inácio do Piauí,Sudeste Piauiense,Vale Do Canindè,3809,35.71,2.75,23.04,77.88,-0.52,27.77
220277,Colônia do Piauí,Sudeste Piauiense,Vale Do Canindè,7665,39.29,3.0,22.07,75.52,-1.03,27.77
220200,Buriti dos Lopes,Norte Piauiense,Planície Litorânea,19832,36.08,6.52,22.87,75.55,-2.34,27.74
220690,Novo Oriente do Piauí,Centro Norte Piauiense,Vale Do Sambito,6548,32.14,3.59,21.35,82.34,-0.82,27.72
220240,Capitão de Campos,Centro Norte Piauiense,Cocais,11471,35.71,4.19,22.57,77.13,-1.12,27.7
220870,Redenção do Gurguéia,Sudoeste Piauiense,Chapada Das Mangabeiras,8814,39.29,3.21,22.36,74.47,-1.32,27.6
220760,Parnaguá,Sudoeste Piauiense,Chapada Das Mangabeiras,10846,39.29,4.15,22.08,73.22,-0.72,27.6
221010,São José do Peixe,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,3737,32.14,3.1,21.81,80.96,-0.29,27.54
220196,Brasileira,Norte Piauiense,Cocais,8364,35.71,3.49,21.69,77.42,-0.8,27.5
220940,Santo Antônio de Lisboa,Sudeste Piauiense,Vale Do Rio Guaribas,6466,32.14,3.32,22.93,79.33,-0.54,27.44
220202,Buriti dos Montes,Centro Norte Piauiense,Carnaubais,8282,35.71,3.03,21.46,77.64,-0.68,27.43
221020,São José do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,6696,32.14,3.47,21.75,80.42,-0.72,27.41
220420,Francisco Santos,Sudeste Piauiense,Vale Do Rio Guaribas,9423,35.71,3.03,23.36,74.98,-0.8,27.26
220987,São João da Fronteira,Norte Piauiense,Cocais,6084,35.84,2.34,19.88,78.28,-0.4,27.19
220025,Alagoinha do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,7678,35.71,3.32,20.57,76.66,-0.4,27.17
220730,Paes Landim,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4124,32.14,3.84,22.18,78.2,-0.58,27.16
220850,Porto,Norte Piauiense,Cocais,12646,35.86,3.73,22.57,74.53,-1.23,27.09
220540,Joaquim Pires,Norte Piauiense,Cocais,14396,39.29,2.74,20.36,73.92,-1.34,26.99
220937,Santa Rosa do Piauí,Sudeste Piauiense,Vale Do Canindè,5254,32.14,2.62,21.77,78.91,-0.63,26.96
220980,São Gonçalo do Piauí,Centro Norte Piauiense,Entre Rios,5044,32.14,2.43,24.4,76.03,-0.6,26.88
221065,Sigefredo Pacheco,Centro Norte Piauiense,Carnaubais,10074,32.14,3.26,21.84,78.47,-1.29,26.88
220335,Dirceu Arcoverde,Sudoeste Piauiense,Serra Da Capivara,7046,32.14,3.12,21.26,78.47,-1.32,26.73
220250,Caracol,Sudoeste Piauiense,Serra Da Capivara,11009,35.71,4.78,21.19,73.27,-1.46,26.7
220555,Lagoa Alegre,Centro Norte Piauiense,Entre Rios,8610,32.14,2.61,21.45,78.09,-1.08,26.64
220310,Cristino Castro,Sudoeste Piauiense,Chapada Das Mangabeiras,10464,32.14,4.65,21.97,75.5,-1.57,26.54
220585,Madeiro,Norte Piauiense,Cocais,8372,35.71,2.61,22.7,72.2,-1.09,26.43
220191,Bom Princípio do Piauí,Norte Piauiense,Planície Litorânea,5670,32.14,3.3,20.92,76.23,-0.86,26.35
220570,Luís Correia,Norte Piauiense,Planície Litorânea,30558,32.52,7.27,22.73,72.37,-3.45,26.29
220553,Jurema,Sudoeste Piauiense,Serra Da Capivara,4790,32.14,2.89,20.9,75.85,-0.85,26.19
220545,Joca Marques,Norte Piauiense,Cocais,5488,35.71,3.69,20.19,71.52,-0.94,26.03
220680,Nossa Senhora dos Remédios,Norte Piauiense,Cocais,8751,32.14,2.76,21.0,74.15,-0.83,25.84
220560,Landri Sales,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,5272,7.21,3.65,23.74,82.93,-0.6,23.39
220556,Lagoa do Barro do Piauí,Sudeste Piauiense,Serra Da Capivara,4658,0.0,3.41,34.97,77.15,-0.6,22.99
220410,Francisco Ayres,Centro Norte Piauiense,Vale Dos Rios Piauì E Itaueiras,4300,3.57,3.79,21.96,83.86,-0.46,22.54
220323,Currais,Sudoeste Piauiense,Chapada Das Mangabeiras,4982,0.0,2.54,33.98,76.69,-0.86,22.47
220360,Eliseu Martins,Sudoeste Piauiense,Chapada Das Mangabeiras,4943,3.57,3.43,22.62,81.78,-0.37,22.21
